User,Tweet,Date,Language,Hashtags,Image
DankMemesBot420,BFFs #dankmemes https://t.co/LDyEFAXcAB,2019-11-16 04:36:59+00:00,tl,"[{'text': 'dankmemes', 'indices': [5, 15]}]",http://pbs.twimg.com/media/FSonD1lXEAAW8_o.jpg
prwnrtt,RT @DankMemesBot420: BFFs #dankmemes https://t.co/MgETaGYwWV,2013-02-23 18:16:02+00:00,tl,"[{'text': 'dankmemes', 'indices': [26, 36]}]",http://pbs.twimg.com/media/FSogMZnWIAEohzQ.jpg
_auntysocial,"can't think of a title. quick, insert ""it do be like that doe""
#auntysocial #dankmemes #memes #meirl https://t.co/wqWdKHQSLE",2017-09-03 01:28:05+00:00,en,"[{'text': 'auntysocial', 'indices': [63, 75]}, {'text': 'dankmemes', 'indices': [76, 86]}, {'text': 'memes', 'indices': [87, 93]}, {'text': 'meirl', 'indices': [94, 100]}]",http://pbs.twimg.com/media/FSor1YBXsAArmz3.jpg
Cj_Alaskaiano,RT @DankMemesBot420: BFFs #dankmemes https://t.co/MgETaGYwWV,2017-12-23 07:26:17+00:00,tl,"[{'text': 'dankmemes', 'indices': [26, 36]}]",http://pbs.twimg.com/media/FSogMZnWIAEohzQ.jpg
DankMemesBot420,Hehehe #dankmemes https://t.co/SjKW6779hY,2019-11-16 04:36:59+00:00,tl,"[{'text': 'dankmemes', 'indices': [7, 17]}]",http://pbs.twimg.com/media/FSot7UbXwAcWh89.jpg
lexucuflexu,"What seeing an Angel of the Lord for the first time does to a mf
#meme #dankmemes https://t.co/ei65Zt9OK5",2020-04-06 17:46:41+00:00,en,"[{'text': 'meme', 'indices': [65, 70]}, {'text': 'dankmemes', 'indices': [71, 81]}]",http://pbs.twimg.com/media/FSovBBvXsAQTHCa.jpg
Aggi_89,RT @DankMemesGlobal: #memes #dankmemes https://t.co/GQlLx6EVJa,2015-08-29 09:12:24+00:00,und,"[{'text': 'memes', 'indices': [21, 27]}, {'text': 'dankmemes', 'indices': [28, 38]}]",http://pbs.twimg.com/ext_tw_video_thumb/1294986775056674817/pu/img/ZnG4SqZKTWpHoGqI.jpg
Paymoneyall,RT @DankMemesBot420: BFFs #dankmemes https://t.co/MgETaGYwWV,2010-06-20 13:40:58+00:00,tl,"[{'text': 'dankmemes', 'indices': [26, 36]}]",http://pbs.twimg.com/media/FSogMZnWIAEohzQ.jpg
TheHauntedLamp,WHAT EVEN IS THIS I JUST WANTED TO KNOW WHAT HAPPENED TO TIM SINCE HE GOT REPLACED! #Memes #dankmemes #PrideMonth https://t.co/YNpesqLLLC,2020-05-09 07:08:45+00:00,en,"[{'text': 'Memes', 'indices': [84, 90]}, {'text': 'dankmemes', 'indices': [91, 101]}, {'text': 'PrideMonth', 'indices': [102, 113]}]",http://pbs.twimg.com/media/FSozo9LWQAIS8Ud.jpg
DankMemesBot420,Yum yum #dankmemes https://t.co/eI0fJG0JiT,2019-11-16 04:36:59+00:00,tr,"[{'text': 'dankmemes', 'indices': [8, 18]}]",http://pbs.twimg.com/media/FSo0yyfWIAAUXxs.jpg
memesbychroath,BFFs #dankmemes #memes #memesdaily https://t.co/Lyrs3CnVsm https://t.co/FWORrUidhw,2019-06-09 19:21:49+00:00,tl,"[{'text': 'dankmemes', 'indices': [5, 15]}, {'text': 'memes', 'indices': [16, 22]}, {'text': 'memesdaily', 'indices': [23, 34]}]",http://pbs.twimg.com/media/FSo16gxWYAIlK6D.jpg
ArcxEnjoyer,RT @DankMemesBot420: Yum yum #dankmemes https://t.co/eI0fJG0JiT,2019-10-30 05:26:23+00:00,tr,"[{'text': 'dankmemes', 'indices': [29, 39]}]",http://pbs.twimg.com/media/FSo0yyfWIAAUXxs.jpg
DankMemesBot420,well played brother #dankmemes https://t.co/TZicK99jfX,2019-11-16 04:36:59+00:00,en,"[{'text': 'dankmemes', 'indices': [20, 30]}]",http://pbs.twimg.com/media/FSo7qU8WIAA3uaA.jpg
lexucuflexu,"What’s next, fucking zombies?
#meme #dankmemes https://t.co/jpozOPH4l4",2020-04-06 17:46:41+00:00,en,"[{'text': 'meme', 'indices': [30, 35]}, {'text': 'dankmemes', 'indices': [36, 46]}]",http://pbs.twimg.com/media/FSo8wSyWAAAHDMN.jpg
ryan_gebert,RT @DankMemesBot420: well played brother #dankmemes https://t.co/TZicK99jfX,2020-10-27 20:02:22+00:00,en,"[{'text': 'dankmemes', 'indices': [41, 51]}]",http://pbs.twimg.com/media/FSo7qU8WIAA3uaA.jpg
DankMemesBot420,In before the “your cousin scored better” #dankmemes https://t.co/0WERCo0Rag,2019-11-16 04:36:59+00:00,en,"[{'text': 'dankmemes', 'indices': [42, 52]}]",http://pbs.twimg.com/media/FSpChvvXwAIZmic.jpg
dedicatedsarca1,"Funny memes 😜
#sarcasticmemes#sarcasm#dankmemes #dedicatedsarcasm#lol#funny#memes#laughteristhebestmedicine https://t.co/imgpi2Uaqf",2022-03-23 08:56:47+00:00,en,[],http://pbs.twimg.com/media/FSpCr-_aAAAaHtb.jpg
memesbychroath,The police are on their way #dankmemes #memes #memesdaily https://t.co/XCXe6sQGTS https://t.co/eElrzfFVMZ,2019-06-09 19:21:49+00:00,en,"[{'text': 'dankmemes', 'indices': [28, 38]}, {'text': 'memes', 'indices': [39, 45]}, {'text': 'memesdaily', 'indices': [46, 57]}]",http://pbs.twimg.com/tweet_video_thumb/FSpC-2OX0AIlSKH.jpg
