User,Tweet,Date,Language,Hashtags,Image
ALX759081621,"RT @Alaajaouhari1: #احكيلنا_قصة_نجاحك_ونصيحتك
#funnymemes #meme #memes #viral #fyp https://t.co/8Oo2rk4mwe",2022-03-24 17:44:43+00:00,und,"[{'text': 'احكيلنا_قصة_نجاحك_ونصيحتك', 'indices': [19, 45]}, {'text': 'funnymemes', 'indices': [46, 57]}, {'text': 'meme', 'indices': [58, 63]}, {'text': 'memes', 'indices': [64, 70]}, {'text': 'viral', 'indices': [71, 77]}, {'text': 'fyp', 'indices': [78, 82]}]",http://pbs.twimg.com/ext_tw_video_thumb/1513281866446561283/pu/img/QgD1w4E6Uf5TFvtS.jpg
IAMgrateful1981,#lol #funny #FunnyMemes https://t.co/Q2l7E4CW5W,2021-12-19 01:43:23+00:00,und,"[{'text': 'lol', 'indices': [0, 4]}, {'text': 'funny', 'indices': [5, 11]}, {'text': 'FunnyMemes', 'indices': [12, 23]}]",http://pbs.twimg.com/media/FQBcmctWUAI8GZy.jpg
ElJeffeDaOso,RT @IAMgrateful1981: #lol #funny #FunnyMemes https://t.co/Q2l7E4CW5W,2022-03-13 14:53:00+00:00,und,"[{'text': 'lol', 'indices': [21, 25]}, {'text': 'funny', 'indices': [26, 32]}, {'text': 'FunnyMemes', 'indices': [33, 44]}]",http://pbs.twimg.com/media/FQBcmctWUAI8GZy.jpg
MerdyWorld79,RT @IAMgrateful1981: #lol #funny #FunnyMemes https://t.co/Q2l7E4CW5W,2012-09-12 03:41:18+00:00,und,"[{'text': 'lol', 'indices': [21, 25]}, {'text': 'funny', 'indices': [26, 32]}, {'text': 'FunnyMemes', 'indices': [33, 44]}]",http://pbs.twimg.com/media/FQBcmctWUAI8GZy.jpg
AmogusDrip1,RT @Roblos_Sarvesan: #Dream #Dreamsexual #DreamSuck #idk #offensivememes (earrape warning) https://t.co/sASBsoCKsQ,2021-10-30 03:42:26+00:00,en,"[{'text': 'Dream', 'indices': [21, 27]}, {'text': 'Dreamsexual', 'indices': [28, 40]}, {'text': 'DreamSuck', 'indices': [41, 51]}, {'text': 'idk', 'indices': [52, 56]}, {'text': 'offensivememes', 'indices': [57, 72]}]",http://pbs.twimg.com/ext_tw_video_thumb/1511401464815493123/pu/img/0Pjx7fvOhurOzBKh.jpg
funnyazzmemesss,"Well when you put it that way…

#slowcooker #warmmeal #dinnerisserved #funnymemes https://t.co/qYeRLoLYWE",2021-08-31 17:11:11+00:00,en,"[{'text': 'slowcooker', 'indices': [32, 43]}, {'text': 'warmmeal', 'indices': [44, 53]}, {'text': 'dinnerisserved', 'indices': [54, 69]}, {'text': 'funnymemes', 'indices': [70, 81]}]",http://pbs.twimg.com/media/FQBm6SSXwAM1fpF.jpg
PRecklessco,"Atleast let him eat it 🤷🏾‍♀️
.
.
#funnymemes #repost #truestory https://t.co/BGpWk3Kyzo",2017-09-21 15:19:53+00:00,en,"[{'text': 'funnymemes', 'indices': [33, 44]}, {'text': 'repost', 'indices': [45, 52]}, {'text': 'truestory', 'indices': [53, 63]}]",http://pbs.twimg.com/media/FQBoI1vXIAIs7iq.jpg
QuestHigh,"You know who you are… 😜

#funnymemes #school #teachers #students #relatable #questers https://t.co/7eWDfuXMX6 https://t.co/Epbcp24hL9",2021-01-11 22:36:17+00:00,en,"[{'text': 'funnymemes', 'indices': [25, 36]}, {'text': 'school', 'indices': [37, 44]}, {'text': 'teachers', 'indices': [45, 54]}, {'text': 'students', 'indices': [55, 64]}, {'text': 'relatable', 'indices': [65, 75]}, {'text': 'questers', 'indices': [76, 85]}]",http://pbs.twimg.com/media/FQBsmgZXwAUmWT3.jpg
jericho1980,This is true!  #truth #TruthThatMatters #thisistrue #Memes #meme #hilarious #funny #funnymeme #funnymemes #indeed https://t.co/FzOJVK8Rr9,2010-06-21 09:10:10+00:00,en,"[{'text': 'truth', 'indices': [15, 21]}, {'text': 'TruthThatMatters', 'indices': [22, 39]}, {'text': 'thisistrue', 'indices': [40, 51]}, {'text': 'Memes', 'indices': [52, 58]}, {'text': 'meme', 'indices': [59, 64]}, {'text': 'hilarious', 'indices': [65, 75]}, {'text': 'funny', 'indices': [76, 82]}, {'text': 'funnymeme', 'indices': [83, 93]}, {'text': 'funnymemes', 'indices': [94, 105]}, {'text': 'indeed', 'indices': [106, 113]}]",http://pbs.twimg.com/media/FQBsswPXoAMuY_d.jpg
Hlyberry19,Be the Guacamole baby!  🥑💚#Memes #funny #humor #FunnyMemes #fun #memesdaily #lol #comedy #meme https://t.co/5quUBU6C0m,2021-09-15 18:16:11+00:00,en,"[{'text': 'Memes', 'indices': [26, 32]}, {'text': 'funny', 'indices': [33, 39]}, {'text': 'humor', 'indices': [40, 46]}, {'text': 'FunnyMemes', 'indices': [47, 58]}, {'text': 'fun', 'indices': [59, 63]}, {'text': 'memesdaily', 'indices': [64, 75]}, {'text': 'lol', 'indices': [76, 80]}, {'text': 'comedy', 'indices': [81, 88]}, {'text': 'meme', 'indices': [89, 94]}]",http://pbs.twimg.com/media/FQB0C6nXwAEMXm8.jpg
